Sample	Temp	Secchi_depth	Salinity_CTD	CHL	PO4	NH4	NO2	NO3	SI	Day_lenght	Size	Season_real	Month	Month_2	Year
AUG_06_P	25.6	18	38.0	0.39	0.15	1.12	0.01	0.35	0.50	14.44	P	SUMMER	8	AUG	2006
SEP_06_P	24.6	NA	37.7	0.24	0.07	0.40	0.30	0.15	0.04	12.69	P	SUMMER	9	SEP	2006
OCT_06_P	20.3	15	37.7	0.26	0.15	0.86	0.01	0.25	0.20	11.44	P	AUT	10	OCT	2006
NOV_06_P	18.3	18	38.1	0.52	0.18	1.75	0.16	0.42	0.85	10.18	P	AUT	11	NOV	2006
DEC_06_P	16.5	17	39.1	0.66	0.07	1.47	0.07	0.41	0.26	9.22	P	AUT	12	DEC	2006
JAN_07_P	15.6	19.5	38.2	0.56	0.12	1.39	0.28	0.53	0.48	9.49	P	WIN	1	JAN	2007
FEB_07_P	13.4	18	38.2	0.47	0.17	1.75	0.36	1.47	1.20	10.80	P	WIN	2	FEB	2007
MAR_07_P	13.5	17	38.2	0.95	0.23	1.62	0.16	0.78	0.17	12.09	P	WIN	3	MAR	2007
APR_07_P	16.0	NA	37.8	0.48	0.10	1.14	0.10	0.96	0.14	13.69	P	SPRING	4	APR	2007
MAY_07_P	17.5	23	37.2	0.24	0.15	1.23	0.30	0.30	0.16	14.5	P	SPRING	5	MAY	2007
JUN_07_P	18.8	19	37.8	0.22	0.02	3.01	0.87	0.37	0.05	15.05	P	SPRING	6	JUN	2007
JUL_07_P	21.9	17	37.7	0.1	0.10	1.79	0.41	0.58	0.15	15.14	P	SUMMER	7	JUL	2007
AUG_07_P	24.4	15	38.0	0.15	0.10	2.47	0.29	0.88	0.43	14.44	P	SUMMER	8	AUG	2007
SEP_07_P	26.2	18	38.0	0.15	0.05	0.80	0.09	0.75	0.36	12.69	P	SUMMER	9	SEP	2007
OCT_07_P	21.0	19	37.9	0.24	0.07	1.73	0.02	0.32	0.08	11.12	P	AUT	10	OCT	2007
NOV_07_P	16.1	11	38.2	0.67	0.09	1.81	0.19	0.38	0.59	9.96	P	AUT	11	NOV	2007
DEC_07_P	14.0	17	38.3	0.72	0.09	1.63	0.19	1.03	0.98	9.22	P	AUT	12	DEC	2007
JAN_08_P	13.1	11	38.3	0.56	0.11	3.24	0.75	2.66	1.96	9.47	P	WIN	1	JAN	2008
FEB_08_P	12.9	NA	38.3	1.07	0.07	3.35	0.50	2.48	1.78	10.45	P	WIN	2	FEB	2008
MAR_08_P	13.5	10	38.3	1.91	0.07	2.13	0.41	1.33	0.98	11.72	P	WIN	3	MAR	2008
APR_08_P	13.2	16	38.3	0.46	0.05	6.28	0.49	1.63	1.00	13.02	P	SPRING	4	APR	2008
MAY_08_P	16.7	NA	38.2	0.72	0.06	1.02	0.17	0.61	0.38	14.25	P	SPRING	5	MAY	2008
JUN_08_P	17.6	10	37.1	0.86	0.02	0.70	0.14	1.38	0.34	15.02	P	SPRING	6	JUN	2008
JUL_08_P	21.3	15	37.6	0.18	0.04	1.04	0.15	0.48	0.58	15.14	P	SUMMER	7	JUL	2008
AUG_08_P	24.3	24	38.0	0.18	0.04	2.58	0.27	0.51	0.55	14.26	P	SUMMER	8	AUG	2008
SEP_08_P	24.2	15	38.1	0.22	0.06	0.25	0.01	0.53	0.82	13.09	P	SUMMER	9	SEP	2008
OCT_08_P	21.1	8	38.2	0.27	0.06	6.51	0.19	0.78	1.06	11.17	P	AUT	10	OCT	2008
NOV_08_P	16.1	13.5	38.2	0.32	0.06	2.41	0.38	1.20	1.49	9.92	P	AUT	11	NOV	2008
DEC_08_P	14.1	14	38.1	0.33	0.05	2.08	0.32	1.27	1.17	9.21	P	AUT	12	DEC	2008
JAN_09_P	12.7	14	38.1	0.43	0.09	0.41	0.19	1.50	2.50	9.42	P	WIN	1	JAN	2009
FEB_09_P	12.2	12	38.1	0.83	NA	NA	NA	NA	NA	10.37	P	WIN	2	FEB	2009
MAR_09_P	12.4	15	38.2	NA	0.05	0.33	0.03	0.29	2.07	11.95	P	WIN	3	MAR	2009
APR_09_P	12.7	15.5	38.2	1.16	0.04	0.36	0.03	0.09	0.53	13.56	P	SPRING	4	APR	2009
MAY_09_P	15.2	12	37.8	0.54	0.05	0.41	0.02	0.10	0.74	14.40	P	SPRING	5	MAY	2009
JUN_09_P	16.5	13	38.0	0.3	0.07	0.48	0.02	0.11	1.46	15.12	P	SPRING	6	JUN	2009
JUL_09_P	20.9	18	38.1	0.18	0.04	0.39	0.00	0.09	0.56	15.09	P	SUMMER	7	JUL	2009
AUG_09_P	21.1	20	38.2	0.34	0.03	0.10	0.03	0.35	1.04	14.33	P	SUMMER	8	AUG	2009
SEP_09_P	20.4	18	38.1	0.34	0.10	0.17	0.01	0.35	1.21	12.55	P	SUMMER	9	SEP	2009
OCT_09_P	17.6	16	38.1	0.74	0.10	0.16	0.03	0.51	1.23	11.58	P	AUT	10	OCT	2009
NOV_09_P	17.3	20	38.2	0.76	0.12	0.10	0.05	0.26	1.35	10.26	P	AUT	11	NOV	2009
DEC_09_P	13.8	8	38.0	1.13	0.10	0.08	0.17	1.16	1.62	9.15	P	AUT	12	DEC	2009
JAN_10_P	12.9	16	37.9	1	0.11	0.07	0.23	2.79	1.90	9.61	P	WIN	1	JAN	2010
FEB_10_P	12.3	10	37.9	0.96	0.11	0.45	0.24	0.00	2.49	10.67	P	WIN	2	FEB	2010
MAR_10_P	11.9	NA	37.7	1.25	0.15	0.11	0.36	4.26	2.37	12.00	P	WIN	3	MAR	2010
APR_10_P	13.7	15	37.8	0.49	0.11	0.14	0.08	1.06	1.82	13.25	P	SPRING	4	APR	2010
MAY_10_P	15.2	8	37.6	0.93	0.09	1.15	0.14	0.43	1.56	14.81	P	SPRING	5	MAY	2010
JUN_10_P	19.2	15	37.5	0.56	0.11	0.27	0.06	0.51	0.81	15.20	P	SPRING	6	JUN	2010
JUL_10_P	23.1	10	37.7	0.43	0.12	0.06	0.01	0.08	0.30	15.10	P	SUMMER	7	JUL	2010
AUG_10_P	24.1	15	37.8	0.44	0.15	0.12	0.07	0.21	0.78	14.37	P	SUMMER	8	AUG	2010
SEP_10_P	24.4	22	38.0	0.31	0.12	0.20	0.03	0.13	0.62	12.59	P	SUMMER	9	SEP	2010
OCT_10_P	17.6	11	37.9	0.78	0.14	0.23	0.06	0.57	1.33	10.99	P	AUT	10	OCT	2010
NOV_10_P	15.8	8	38.2	0.53	0.08	0.14	0.15	0.42	0.87	9.85	P	AUT	11	NOV	2010
DEC_10_P	14.5	18	38.2	0.51	0.18	0.12	0.25	1.46	1.52	9.19	P	AUT	12	DEC	2010
JAN_11_P	12.9	12.5	38.0	0.81	0.11	0.62	0.28	1.54	2.14	9.39	P	WIN	1	JAN	2011
FEB_11_P	12.4	13.5	37.8	0.96	0.11	0.56	0.24	1.41	2.03	10.29	P	WIN	2	FEB	2011
MAR_11_P	12.3	8.5	37.8	1.05	0.11	0.41	0.28	1.23	2.46	11.81	P	WIN	3	MAR	2011
APR_11_P	NA	16	NA	0.45	0.11	0.69	0.08	0.47	1.01	13.16	P	SPRING	4	APR	2011
MAY_11_P	17.6	18	NA	0.49	0.10	0.04	0.02	0.44	0.69	14.57	P	SPRING	5	MAY	2011
JUN_11_P	21.0	13.5	37.7	0.54	0.18	0.63	0.10	1.01	1.85	15.18	P	SPRING	6	JUN	2011
JUL_11_P	22.4	16	37.8	0.2	0.08	0.03	0.01	0.42	0.40	15.12	P	SUMMER	7	JUL	2011
AUG_11_P	22.9	15	37.8	0.6	0.11	0.69	0.04	0.80	1.81	14.4	P	SUMMER	8	AUG	2011
SEP_11_P	23.0	19	NA	0.32	0.09	0.10	0.00	0.49	0.90	12.64	P	SUMMER	9	SEP	2011
OCT_11_P	20.6	14	38.1	0.37	0.08	0.03	0.01	0.51	1.02	11.40	P	AUT	10	OCT	2011
NOV_11_P	16.8	8.5	37.2	2.88	0.10	0.05	0.06	0.55	0.30	9.46	P	AUT	11	NOV	2011
DEC_11_P	15.5	14	38.1	0.89	0.07	0.03	0.11	0.54	0.85	9.15	P	AUT	12	DEC	2011
JAN_12_P	14.4	14	38.1	0.69	0.08	1.39	0.26	0.19	1.22	9.35	P	WIN	1	JAN	2012
FEB_12_P	12.2	15	38.2	0.69	0.13	0.39	0.22	2.18	2.49	10.54	P	WIN	2	FEB	2012
MAR_12_P	13.2	18.5	38.3	0.67	0.10	0.67	0.26	2.38	2.45	11.81	P	WIN	3	MAR	2012
APR_12_P	13.8	16	38.2	1.21	0.04	0.57	0.09	0.17	1.72	13.16	P	SPRING	4	APR	2012
MAY_12_P	16.8	16	38.2	0.36	0.04	0.91	0.09	0.11	0.50	14.63	P	SPRING	5	MAY	2012
JUN_12_P	20.1	16	38.2	0.76	0.04	0.91	0.04	0.01	0.51	15.20	P	SPRING	6	JUN	2012
JUL_12_P	22.0	16	38.1	0.26	0.05	0.53	0.06	0.06	0.51	15.13	P	SUMMER	7	JUL	2012
AUG_12_P	25.4	20	38.1	0.19	0.09	1.58	0.04	0.26	0.80	14.18	P	SUMMER	8	AUG	2012
SEP_12_P	22.5	19	38.2	0.16	0.03	0.61	0.02	0.07	1.05	12.59	P	SUMMER	9	SEP	2012
OCT_12_P	18.3	18	37.9	0.34	0.03	0.83	0.04	0.04	0.93	11.40	P	AUT	10	OCT	2012
NOV_12_P	16.7	8	38.0	0.46	0.22	1.70	0.12	3.52	2.04	NA	P	AUT	11	NOV	2012
DEC_12_P	14.3	13	38.0	0.48	0.08	0.86	0.32	1.36	2.02	NA	P	AUT	12	DEC	2012
JAN_13_P	13.3	17	38.1	0.89	0.12	1.17	0.40	1.21	1.56	NA	P	WIN	1	JAN	2013
FEB_13_P	12.8	12	38.2	0.72	0.11	5.90	0.70	1.73	1.46	NA	P	WIN	2	FEB	2013
MAR_13_P	12.8	9	38.1	1.08	0.16	0.18	0.22	3.29	2.48	NA	P	WIN	3	MAR	2013
APR_13_P	14.5	11	37.9	0.49	0.08	0.58	0.18	0.65	1.36	NA	P	SPRING	4	APR	2013
MAY_13_P	15.0	19	37.7	0.75	0.10	0.67	0.21	1.37	1.45	NA	P	SPRING	5	MAY	2013
JUN_13_P	16.9	20	37.6	0.31	0.10	1.96	0.17	0.34	1.25	NA	P	SPRING	6	JUN	2013
JUL_13_P	21.6	14	37.9	0.5	0.09	0.85	0.11	0.13	0.46	NA	P	SUMMER	7	JUL	2013
AUG_13_P	23.6	17	37.8	0.21	0.07	3.48	0.22	0.24	0.46	NA	P	SUMMER	8	AUG	2013
SEP_13_P	23.4	20	38.1	0.31	0.08	0.13	0.06	0.32	0.71	NA	P	SUMMER	9	SEP	2013
OCT_13_P	21.4	20	38.1	0.28	0.08	0.43	0.10	0.22	0.82	NA	P	AUT	10	OCT	2013
NOV_13_P	18.1	18	38.0	0.42	0.07	0.32	0.11	0.32	0.81	NA	P	AUT	11	NOV	2013
DEC_13_P	14.4	8.5	38.1	0.60	0.17	0.47	0.38	1.53	1.88	NA	P	AUT	12	DEC	2013
JAN_04_N	14.0	14	37.9	1.06	0.22	0.29	0.28	1.53	1.80	9.80	N	WIN	1	JAN	2004
FEB_04_N	12.9	7	37.2	1.04	0.17	0.67	0.23	1.56	0.84	10.93	N	WIN	2	FEB	2004
APR_04_N	12.6	6	35.9	1.36	0.16	1.47	0.36	2.51	6.07	13.51	N	SPRING	4	APR	2004
MAY_04_N	17.0	9	37.0	0.71	0.17	0.89	0.33	0.21	3.27	14.83	N	SPRING	5	MAY	2004
JUN_04_N	21.1	14	36.9	0.44	0.13	0.34	0.05	0.20	2.22	15.18	N	SPRING	6	JUN	2004
JUL_04_N	24.0	24	36.9	0.37	0.14	0.95	0.20	0.14	1.36	14.81	N	SUMMER	7	JUL	2004
AUG_04_N	24.5	17	37.2	NA	0.10	0.67	0.06	0.25	1.31	13.18	N	SUMMER	8	AUG	2004
SEP_04_N	21.3	15	37.7	0.68	0.09	0.48	0.05	0.18	1.38	11.86	N	SUMMER	9	SEP	2004
OCT_04_N	19.2	12	37.5	0.34	0.06	0.45	0.06	0.36	1.41	10.94	N	AUT	10	OCT	2004
NOV_04_N	16.0	11	36.8	0.71	0.21	1.03	1.02	0.37	1.78	9.81	N	AUT	11	NOV	2004
DEC_04_N	14.5	15.5	37.2	0.38	0.23	1.32	0.29	1.32	2.50	9.18	N	AUT	12	DEC	2004
JAN_05_N	13.0	19	37.0	0.51	0.24	1.14	0.22	1.05	2.56	9.61	N	WIN	1	JAN	2005
MAR_05_N	12.4	20	37.9	0.67	0.42	1.53	0.15	6.81	7.06	11.58	N	WIN	3	MAR	2005
APR_05_N	13.0	18	37.7	2.03	0.29	2.13	0.43	3.30	3.35	13.20	N	SPRING	4	APR	2005
MAY_05_N	16.0	12.5	37.6	1.13	0.21	1.28	0.14	0.89	1.48	14.32	N	SPRING	5	MAY	2005
JUN_05_N	19.6	22	38.1	0.36	0.22	0.98	0.08	0.21	1.34	15.09	N	SPRING	6	JUN	2005
JUL_05_N	24.0	22	NA	0.11	0.23	1.44	0.06	0.22	1.76	15.12	N	SUMMER	7	JUL	2005
AUG_05_N	24.0	20	NA	0.02	0.21	0.93	0.01	0.14	1.52	14.37	N	SUMMER	8	AUG	2005
SEP_05_N	26.1	19	NA	0.27	0.19	1.20	0.02	0.27	1.29	12.64	N	SUMMER	9	SEP	2005
OCT_05_N	21.5	17	35.1	0.57	0.18	1.54	0.11	2.35	1.60	11.67	N	AUT	10	OCT	2005
NOV_05_N	17.9	12	37.1	0.75	0.21	2.16	0.84	2.48	1.81	10.14	N	AUT	11	NOV	2005
DEC_05_N	13.9	15	37.8	0.6	0.18	1.00	0.13	1.17	1.86	9.20	N	AUT	12	DEC	2005
JAN_06_N	12.6	14	38.3	0.63	0.21	1.00	0.18	2.12	2.68	9.37	N	WIN	1	JAN	2006
MAR_06_N	13.0	12.5	36.3	1.46	0.18	0.51	0.06	2.02	1.77	11.48	N	WIN	3	MAR	2006
APR_06_N	13.5	16	37.1	0.98	0.16	1.45	0.05	3.23	0.87	12.79	N	SPRING	4	APR	2006
MAY_06_N	18.4	10	37.1	2.45	0.10	1.05	0.14	0.54	0.13	14.53	N	SPRING	5	MAY	2006
JUN_06_N	22.4	12	35.6	0.43	0.14	1.75	0.31	0.51	0.38	15.16	N	SPRING	6	JUN	2006
JUL_06_N	23.7	15	37.7	0.21	0.02	1.37	0.05	0.60	0.05	15.12	N	SUMMER	7	JUL	2006
AUG_06_N	25.6	18	38.0	0.39	0.15	1.12	0.01	0.35	0.50	14.44	N	SUMMER	8	AUG	2006
SEP_06_N	24.6	NA	37.7	0.24	0.07	0.40	0.30	0.15	0.04	12.69	N	SUMMER	9	SEP	2006
OCT_06_N	20.3	15	37.7	0.26	0.15	0.86	0.01	0.25	0.20	11.44	N	AUT	10	OCT	2006
NOV_06_N	18.3	18	38.1	0.52	0.18	1.75	0.16	0.42	0.85	10.18	N	AUT	11	NOV	2006
DEC_06_N	16.5	17	39.1	0.66	0.07	1.47	0.07	0.41	0.26	9.22	N	AUT	12	DEC	2006
JAN_07_N	15.6	19.5	38.2	0.56	0.12	1.39	0.28	0.53	0.48	9.49	N	WIN	1	JAN	2007
FEB_07_N	13.4	18	38.2	0.47	0.17	1.75	0.36	1.47	1.20	10.80	N	WIN	2	FEB	2007
MAR_07_N	13.5	17	38.2	0.95	0.23	1.62	0.16	0.78	0.17	12.09	N	WIN	3	MAR	2007
APR_07_N	16.0	NA	37.8	0.48	0.10	1.14	0.10	0.96	0.14	13.69	N	SPRING	4	APR	2007
MAY_07_N	17.5	23	37.2	0.24	0.15	1.23	0.30	0.30	0.16	14.50	N	SPRING	5	MAY	2007
JUN_07_N	18.8	19	37.8	0.22	0.02	3.01	0.87	0.37	0.05	15.05	N	SPRING	6	JUN	2007
JUL_07_N	21.9	17	37.7	0.1	0.10	1.79	0.41	0.58	0.15	15.14	N	SUMMER	7	JUL	2007
AUG_07_N	24.4	15	38.0	0.15	0.10	2.47	0.29	0.88	0.43	14.44	N	SUMMER	8	AUG	2007
SEP_07_N	26.2	18	38.0	0.15	0.05	0.80	0.09	0.75	0.36	12.69	N	SUMMER	9	SEP	2007
OCT_07_N	21.0	19	37.9	0.24	0.07	1.73	0.02	0.32	0.08	11.12	N	AUT	10	OCT	2007
NOV_07_N	16.1	11	38.2	0.67	0.09	1.81	0.19	0.38	0.59	9.96	N	AUT	11	NOV	2007
DEC_07_N	14.0	17	38.3	0.72	0.09	1.63	0.19	1.03	0.98	9.22	N	AUT	12	DEC	2007
JAN_08_N	13.1	11	38.3	0.56	0.11	3.24	0.75	2.66	1.96	9.47	N	WIN	1	JAN	2008
FEB_08_N	12.9	NA	38.3	1.07	0.07	3.35	0.50	2.48	1.78	10.45	N	WIN	2	FEB	2008
MAR_08_N	13.5	10	38.3	1.91	0.07	2.13	0.41	1.33	0.98	11.72	N	WIN	3	MAR	2008
APR_08_N	13.2	16	38.3	0.46	0.05	6.28	0.49	1.63	1.00	13.02	N	SPRING	4	APR	2008
MAY_08_N	16.7	NA	38.2	0.72	0.06	1.02	0.17	0.61	0.38	14.25	N	SPRING	5	MAY	2008
JUN_08_N	17.6	10	37.1	0.86	0.02	0.70	0.14	1.38	0.34	15.02	N	SPRING	6	JUN	2008
JUL_08_N	21.3	15	37.6	0.18	0.04	1.04	0.15	0.48	0.58	15.14	N	SUMMER	7	JUL	2008
AUG_08_N	24.3	24	38.0	0.18	0.04	2.58	0.27	0.51	0.55	14.26	N	SUMMER	8	AUG	2008
SEP_08_N	24.2	15	38.1	0.22	0.06	0.25	0.01	0.53	0.82	13.09	N	SUMMER	9	SEP	2008
OCT_08_N	21.1	8	38.2	0.27	0.06	6.51	0.19	0.78	1.06	11.17	N	AUT	10	OCT	2008
NOV_08_N	16.1	13.5	38.2	0.32	0.06	2.41	0.38	1.20	1.49	9.92	N	AUT	11	NOV	2008
DEC_08_N	14.1	14	38.1	0.33	0.05	2.08	0.32	1.27	1.17	9.21	N	AUT	12	DEC	2008
JAN_09_N	12.7	14	38.1	0.43	0.09	0.41	0.19	1.50	2.50	9.42	N	WIN	1	JAN	2009
FEB_09_N	12.2	12	38.1	0.83	NA	NA	NA	NA	NA	10.37	N	WIN	2	FEB	2009
MAR_09_N	12.4	15	38.2	NA	0.05	0.33	0.03	0.29	2.07	11.95	N	WIN	3	MAR	2009
APR_09_N	12.7	15.5	38.2	1.16	0.04	0.36	0.03	0.09	0.53	13.56	N	SPRING	4	APR	2009
MAY_09_N	15.2	12	37.8	0.54	0.05	0.41	0.02	0.10	0.74	14.40	N	SPRING	5	MAY	2009
JUN_09_N	16.5	13	38.0	0.3	0.07	0.48	0.02	0.11	1.46	15.12	N	SPRING	6	JUN	2009
JUL_09_N	20.9	18	38.1	0.18	0.04	0.39	0.00	0.09	0.56	15.09	N	SUMMER	7	JUL	2009
AUG_09_N	21.1	20	38.2	0.34	0.03	0.10	0.03	0.35	1.04	14.33	N	SUMMER	8	AUG	2009
SEP_09_N	20.4	18	38.1	0.34	0.10	0.17	0.01	0.35	1.21	12.55	N	SUMMER	9	SEP	2009
NOV_09_N	17.3	20	38.2	0.76	0.12	0.10	0.05	0.26	1.35	10.26	N	AUT	11	NOV	2009
DEC_09_N	13.8	8	38.0	1.13	0.10	0.08	0.17	1.16	1.62	9.15	N	AUT	12	DEC	2009
JAN_10_N	12.9	16	37.9	1	0.11	0.07	0.23	2.79	1.90	9.61	N	WIN	1	JAN	2010
FEB_10_N	12.3	10	37.9	0.96	0.11	0.45	0.24	0.00	2.49	10.67	N	WIN	2	FEB	2010
MAR_10_N	11.9	NA	37.7	1.25	0.15	0.11	0.36	4.26	2.37	12.00	N	WIN	3	MAR	2010
APR_10_N	13.7	15	37.8	0.49	0.11	0.14	0.08	1.06	1.82	13.25	N	SPRING	4	APR	2010
AUG_12_N	25.4	20	38.1	0.19	0.09	1.58	0.04	0.26	0.80	14.18	N	SUMMER	8	AUG	2012
SEP_12_N	22.5	19	38.2	0.16	0.03	0.61	0.02	0.07	1.05	12.59	N	SUMMER	9	SEP	2012
OCT_12_N	18.3	18	37.9	0.34	0.03	0.83	0.04	0.04	0.93	11.40	N	AUT	10	OCT	2012
NOV_12_N	16.7	8	38.0	0.46	0.22	1.70	0.12	3.52	2.04	NA	N	AUT	11	NOV	2012
DEC_12_N	14.3	13	38.0	0.48	0.08	0.86	0.32	1.36	2.02	NA	N	AUT	12	DEC	2012
JAN_13_N	13.3	17	38.1	0.89	0.12	1.17	0.40	1.21	1.56	NA	N	WIN	1	JAN	2013
FEB_13_N	12.8	12	38.2	0.72	0.11	5.90	0.70	1.73	1.46	NA	N	WIN	2	FEB	2013
MAR_13_N	12.8	9	38.1	1.08	0.16	0.18	0.22	3.29	2.48	NA	N	WIN	3	MAR	2013
APR_13_N	14.5	11	37.9	0.49	0.08	0.58	0.18	0.65	1.36	NA	N	SPRING	4	APR	2013
MAY_13_N	15.0	19	37.7	0.75	0.10	0.67	0.21	1.37	1.45	NA	N	SPRING	5	MAY	2013
JUN_13_N	16.9	20	37.6	0.31	0.10	1.96	0.17	0.34	1.25	NA	N	SPRING	6	JUN	2013
JUL_13_N	21.6	14	37.9	0.5	0.09	0.85	0.11	0.13	0.46	NA	N	SUMMER	7	JUL	2013
AUG_13_N	23.6	17	37.8	0.21	0.07	3.48	0.22	0.24	0.46	NA	N	SUMMER	8	AUG	2013
SEP_13_N	23.4	20	38.1	0.31	0.08	0.13	0.06	0.32	0.71	NA	N	SUMMER	9	SEP	2013
OCT_13_N	21.4	20	38.1	0.28	0.08	0.43	0.10	0.22	0.82	NA	N	AUT	10	OCT	2013
NOV_13_N	18.1	18	38.0	0.42	0.07	0.32	0.11	0.32	0.81	NA	N	AUT	11	NOV	2013
DEC_13_N	14.4	8.5	38.1	0.60	0.17	0.47	0.38	1.53	1.88	NA	N	AUT	12	DEC	2013
